city,population_2000,population_2017,pop_growth_%,median_income_2000,median_income_2017,income_growth_%,median_house_2000,median_house_2017,median_house_growth_%,crime_index_2005,crime_index_2018,crime_increase_%,poverty_rate_%
Quincy-Massachusetts,88005,94166,7,47121,77765,65.03,181500,426200,134.82,190.5,161.8,-2.31,12.4
Pomona-California,149500,152939,2.3,40021,58837,47.02,134000,405000,202.24,417.5,354.3,1.48,20.2
Simi-Valley-California,111394,126878,13.9,70370,90200,28.18,235200,602800,156.29,140.4,116.4,1.81,8.1
Mount-Pleasant-South-Carolina,47619,86668,82,61054,91259,49.47,180000,449000,149.44,194.6,101.9,7.22,5.4
Corona-California,124970,167836,34.3,59615,83345,39.81,190900,470300,146.36,238,159.8,12.96,9.7
Salinas-California,151098,157596,4.3,43720,60370,38.08,189500,431500,127.7,427.2,359.8,0.9,13.6
Vista-California,89883,101568,13,42594,68130,59.95,188700,478000,153.31,336.2,179.7,7.41,9
Greenville-South-Carolina,56009,68219,21.8,33144,52900,59.61,112500,282900,151.47,636,342.9,6.6,12.5
Yonkers-New-York,196134,202019,3,44663,59846,33.99,214100,429300,100.51,227.7,132.2,-1.68,15.4
Roswell-Georgia,79318,94786,19.5,71726,82743,15.36,204700,367900,79.73,176.6,114.5,-3.13,9.3
Chico-California,59956,93293,55.6,29359,50544,72.16,138600,332300,139.75,327,325.2,-9.67,23.1
Provo-Utah,105138,117335,11.6,34313,43126,25.68,144900,256900,77.29,230.1,156.3,34.09,23.4
Denver-Colorado,554819,704621,27,39500,65224,65.12,160100,395100,146.78,574.3,431.5,16.99,12.2
Carson-California,89772,92735,3.3,52284,66784,27.73,176100,467600,165.53,329.9,241.7,-15.61,8.8
Stamford-Connecticut,117120,130824,11.7,60556,87316,44.19,306700,517700,68.8,179.8,128.1,7.47,9.4
Richmond-California,99224,110040,10.9,44210,67102,51.78,170700,495400,190.22,718.9,495.1,0.67,14.7
Lakewood-California,79379,80967,2,58214,83485,43.41,201800,583200,189,300.1,215.1,2.99,6.4
Chula-Vista-California,173601,270471,55.8,44861,77273,72.25,187100,497800,166.06,341.5,160.5,7.09,11.5
Hayward-California,140052,160500,14.6,51177,89925,75.71,223800,595500,166.09,373.6,300.1,-8.45,6
Fall-River-Massachusetts,91901,89420,-2.7,29014,43235,49.01,133900,249300,86.18,513.8,352.3,4.75,19.1
Mission-Viejo-California,93129,96016,3.1,78248,102787,31.36,288700,694600,140.6,94.3,76,4.89,7.7
Folsom-California,51886,78038,50.4,73175,116592,59.33,223300,521600,133.59,172.3,119.3,3.42,3.9
West-Covina-California,105076,107598,2.4,53002,81170,53.15,188400,559200,196.82,299.7,202.2,-1.83,7.5
Santa-Ana-California,337852,334136,-1.1,43412,65655,51.24,173300,494700,185.46,318.6,263.8,4.19,15.4
Escondido-California,133540,151969,13.8,42567,62210,46.15,178000,442800,148.76,324.7,201.3,2.46,12
Silver-Spring-Maryland,76515,80265,4.9,51653,84393,63.38,183300,489000,166.78,,,,6.9
Bend-Oregon,52019,94520,81.7,40857,66455,62.65,138100,400700,190.15,307.9,145,11.56,7.8
Salt-Lake-City-Utah,181816,200544,10.3,36944,58688,58.86,152400,307900,102.03,618.6,548.2,-4.12,17.4
Reno-Nevada,180459,248853,37.9,40530,57125,40.94,147900,328700,122.24,480.7,312.7,0.17,12.7
Hoboken-New-Jersey,38580,55131,42.9,62550,104248,66.66,249300,578535,132.06,259,122.4,19.08,10.5
San-Marcos-California,54970,96198,75,45908,76272,66.14,178400,525200,194.39,217.1,112.3,-9.95,9.1
Boston-Massachusetts,589074,685094,16.3,39629,66758,68.46,210100,540600,157.31,596.5,275.2,-0.37,18.7
Lake-Forest-California,58699,84293,43.6,67967,99913,47,258500,626900,142.51,109.1,99.3,2.73,4.9
Santa-Rosa-California,147657,175269,18.7,50931,75356,47.96,236000,568200,140.76,326.4,244.4,8.55,10
Concord-California,121747,129783,6.6,55597,89118,60.29,220500,572800,159.77,368.6,267.5,5.25,7.7
Missoula-Montana,57073,73340,28.5,30366,44241,45.69,127900,279800,118.76,393,368.1,22.43,21.2
Portland-Oregon,529252,647805,22.4,40146,66187,64.87,154700,427500,176.34,561.6,447.8,11.14,14.7
Carmichael-California,49742,65959,32.6,47041,69552,47.85,172200,382500,122.13,,,,11.8
Alexandria-Virginia,128233,160035,24.8,56054,100530,79.34,202400,573200,183.2,224.2,123,4.52,11.7
Ellicott-City-Maryland,56416,76727,36,79031,123380,56.12,237800,538800,126.58,,,,5.5
Miami-Beach-Florida,87911,92307,5,27322,50152,83.56,138700,458800,230.79,808.3,626.2,3.15,16.5
El-Cajon-California,94880,103894,9.5,35566,50312,41.46,178600,458100,156.49,400.2,254.5,10.37,21.3
Inglewood-California,112625,110598,-1.8,34269,51456,50.15,170400,528300,210.04,451.5,338.7,-0.64,16.5
Redmond-Washington,45243,64291,42.1,66735,123721,85.39,255200,731191,186.52,245.1,166.8,12.23,6
Kirkland-Washington,45058,88630,96.7,60332,106722,76.89,266400,682300,156.12,256.4,148.6,-12.22,7.5
Daly-City-California,103653,107074,3.3,62310,90888,45.86,324200,786200,142.5,195.1,149.8,-5.47,6
Anaheim-California,327904,352497,7.5,47122,70395,49.39,204000,577500,183.09,287.3,231.8,4.47,15.9
East-Los-Angeles-California,124299,125542,1,28544,43231,51.45,157000,434200,176.56,,,,20.7
Arlington-Virginia,189487,234965,24,63001,117237,86.09,233700,735100,214.55,,,,5.2
Thousand-Oaks-California,117055,128995,10.2,76815,100338,30.62,312900,728700,132.89,110.6,110.1,1.84,5.1
Cambridge-Massachusetts,101364,113630,12.1,47979,97316,102.83,331600,773200,133.17,300.1,164.5,6.68,12.5
Bellingham-Washington,67153,89045,32.6,32530,53369,64.06,148900,372600,150.24,431,244.7,3.83,19.7
Somerville-Massachusetts,77485,81360,5,46315,89478,93.19,262000,666500,154.39,222.3,124.5,-14.53,13.6
Tustin-California,67531,80498,19.2,55985,81285,45.19,251000,668500,166.33,239,154.5,22.13,12.9
Garden-Grove-California,165143,174226,5.5,47754,66842,39.97,194500,558800,187.3,263.9,207.1,6.11,15.3
Irvine-California,143090,277453,93.9,72057,104185,44.59,301400,822100,172.76,117.4,81.3,11.7,12.7
Upland-California,68382,76999,12.6,48734,70760,45.2,203100,495700,144.07,323.8,244.3,6.3,10
San-Diego-California,1223720,1419516,16,45733,76662,67.63,220000,600300,172.86,350.8,212.9,1.01,13.1
El-Monte-California,115993,116109,0.1,32439,51730,59.47,153100,442100,188.77,318.9,209,9.97,19.7
Scottsdale-Arizona,202716,249950,23.3,57484,88407,53.79,205000,473300,130.88,242.1,172,-4.23,7.8
Arden-Arcade-California,96058,100573,4.7,40335,48812,21.02,166700,372100,123.22,,,,19.7
Napa-California,72587,79774,9.9,49154,82361,67.56,230500,633200,174.71,253.1,194.8,-2.16,5.5
Livermore-California,73350,90295,23.1,75322,118406,57.2,309100,745600,141.22,174.7,156.3,2.04,2.8
Sandy-Springs-Georgia,85803,106739,24.4,60428,74223,22.83,316600,499200,57.68,301.4,124.8,7.15,7.7
San-Leandro-California,79432,90553,14,51081,64923,27.1,229700,597000,159.9,455.5,359.6,-15.62,11.8
Laguna-Niguel-California,61878,66334,7.2,80733,102386,26.82,361700,809500,123.8,85.2,75.5,23.84,6.8
Orange-California,128835,140560,9.1,58994,91092,54.41,247000,656300,165.71,175.1,125.7,-4.37,14.4
New-Rochelle-New-York,72153,79946,10.8,55513,84516,52.25,299900,595000,98.4,192.9,76.7,-6.13,9.3
Downey-California,107297,113092,5.4,45667,72178,58.05,207400,556600,168.37,313.3,221.9,1.26,9.4
Washington-District-of-Columbia,572112,693972,21.3,40127,82372,105.28,153500,607200,295.57,682.5,490.9,1.94,16.6
Westminster-California,88211,91564,3.8,49450,57938,17.16,215900,600100,177.95,272.5,227.5,9.79,16
Carlsbad-California,78242,115330,47.4,65145,101646,56.03,308800,809700,162.21,213.2,152.5,-5.45,6.2
Walnut-Creek-California,64306,69773,8.5,63238,100180,58.42,337700,814600,141.22,274.6,191.4,18.01,6.1
Fremont-California,203430,234962,15.5,76579,127235,66.15,354300,927500,161.78,197.1,166.7,-12.13,4.4
Costa-Mesa-California,108715,113825,4.7,50732,78904,55.53,263700,744900,182.48,261.2,270.6,7.4,13.8
Bellevue-Washington,109593,144444,31.8,62338,121168,94.37,287300,806800,180.82,242.6,180.9,2.84,6.5
Huntington-Beach-California,189553,201874,6.5,64824,87120,34.39,292000,738600,152.95,169.1,165.1,-3.48,9.2
Fullerton-California,126025,140392,11.4,50269,77385,53.94,230500,672300,191.67,258.8,210.7,-4.64,14.3
San-Jose-California,894828,1035317,15.7,70243,104675,49.02,375500,854700,127.62,247.1,280.9,-4.63,8.4
Whittier-California,83658,86838,3.8,49256,66525,35.06,209800,581300,177.07,265.8,212.9,-1.85,13.9
San-Ramon-California,44717,75931,69.8,95856,161870,68.87,421000,957800,127.51,144.6,64.9,17.27,4.5
Seattle-Washington,563565,724745,28.6,45736,86822,89.83,252100,673100,167,593,449.6,6.16,11.1
New-York-New-York,8006219,8622698,7.7,38293,60879,58.98,221200,609500,175.54,285.2,216,6.22,18
Santa-Clara-California,102362,127134,24.2,69466,115375,66.09,387000,1000000,158.4,221.6,195.2,3.41,7.7
Pleasanton-California,63655,83007,30.4,90859,152123,67.43,428200,997500,132.95,155.6,115.6,11.06,4.1
Long-Beach-California,461602,469450,1.7,37270,60557,62.48,198600,557700,180.82,362,335.4,1.15,16.6
Hawthorne-California,84151,87854,4.4,31887,50063,57,184800,601400,225.43,333.3,293.9,-6.87,13.6
Burbank-California,100319,104834,4.5,47467,71558,50.75,249200,723000,190.13,207.4,177.2,3.54,9.8
Alhambra-California,85825,85396,-0.5,39213,61724,57.41,204300,597200,192.32,262.5,184.9,5.8,12.8
Torrance-California,137930,146758,6.4,56489,88860,57.3,308600,760300,146.37,187.7,151.1,-0.42,8.3
Los-Angeles-California,3693221,3999759,8.3,36687,60197,64.08,215600,647000,200.09,408,353.9,6.33,17.4
San-Mateo-California,92451,104748,13.3,64757,108058,66.87,453600,1000000,120.46,264.9,182.9,17.47,9.5
Redondo-Beach-California,63287,67908,7.3,69173,104715,51.38,341600,907400,165.63,192.7,185.1,-7.75,5.5
Boulder-Colorado,94633,107125,13.2,44748,66524,48.66,272200,694900,155.29,260.4,234.1,14.21,23.4
Bethesda-Maryland,55256,68297,23.6,99102,166380,67.89,374400,938800,150.75,,,,2.6
Pasadena-California,133940,142647,6.5,46012,76972,67.29,268100,802500,199.33,300.2,220.9,8.53,13.2
Alameda-California,72241,79177,9.6,56285,89979,59.86,331600,891700,168.91,228.3,198.5,2.93,8.1
Oakland-California,399619,425195,6.4,40055,70577,76.2,227300,686700,202.11,801.7,686.9,-17.28,15.3
Glendale-California,195056,203054,4.1,41805,58861,40.8,290400,790300,172.14,159.9,104,6.53,16.5
Sunnyvale-California,131780,153656,16.6,74409,134234,80.4,441400,1000000,126.55,164.1,137.6,8.53,6.3
Newton-Massachusetts,83798,88994,6.2,86052,144403,67.81,416600,930400,123.33,100,46.8,-3.66,3.4
Redwood-City-California,75378,86685,15,66748,116966,75.24,487600,1000000,105.09,316.9,147.3,17.63,8.2
Mountain-View-California,70692,81438,15.2,69362,135115,94.8,464800,1000000,115.15,254.3,174.8,-3.38,5.1
San-Francisco-California,776438,884363,13.9,55221,110816,100.68,422700,1000000,136.57,489.2,465.3,-5.9,10
Santa-Barbara-California,92285,92101,-0.2,47498,79740,67.88,469300,1000000,113.08,323.5,267.9,14.23,13.9
Berkeley-California,102706,122324,19.1,44485,86497,94.44,374300,993500,165.43,559,368,1.19,20.3
Santa-Monica-California,84067,92306,9.8,50714,90088,77.64,479200,1000000,108.68,378.3,490.3,0.61,10.1
Palo-Alto-California,58619,67178,14.6,90377,153802,70.18,776000,1000000,28.87,219.1,135,16.05,6
Newport-Beach-California,70048,86160,23,83455,127104,52.3,675800,1000000,47.97,204.7,173.2,6.5,4.3
