city,population_2000,population_2017,pop_growth_%,median_income_2000,median_income_2017,income_growth_%,median_house_2000,median_house_2017,median_house_growth_%,crime_index_2005,crime_index_2018,crime_increase_%,poverty_rate_%
Moreno-Valley-California,142423,207226,45.5,47387,62198,31.26,117800,305900,159.68,355.1,261.2,-9.41,14.5
Danbury-Connecticut,74842,85246,13.9,53664,65596,22.23,174600,314300,80.01,155.2,114.1,-1.83,13.6
Virginia-Beach-Virginia,425339,450435,5.9,48705,72586,49.03,121500,282300,132.35,227.1,118.8,-1.56,8
Yakima-Washington,71830,93667,30.4,29475,41121,39.51,100100,168700,68.53,668.1,348.2,6.39,16.9
Bloomington-Indiana,69276,85071,22.8,25377,38897,53.28,119300,196900,65.05,267.2,282.5,-12.65,32.4
Fishers-Indiana,37837,91832,142.7,75638,113560,50.14,161300,274000,69.87,69.5,58.9,1.91,0.9
Glendale-Arizona,218907,246709,12.7,45015,53753,19.41,113300,220600,94.7,462.3,339,0.61,16.7
Tuscaloosa-Alabama,77923,100287,28.7,27731,47243,70.36,97400,170500,75.05,501.1,359.4,-9.76,22.2
Peoria-Arizona,108364,168181,55.2,52199,72142,38.21,121100,255800,111.23,298.1,163.3,7.15,6.6
Woodbury-Minnesota,46473,69756,50.1,76109,101069,32.8,172700,328000,89.92,141.9,86.5,19.14,3.6
Durham-North-Carolina,186971,267743,43.2,41160,56375,36.97,125600,230100,83.2,530.6,386.3,-6.44,17.1
Spokane-Washington,195592,217108,11,32273,46543,44.22,96100,190200,97.92,478.9,619.4,-2.19,18
Lee-s-Summit-Missouri,70704,97290,37.6,60905,86695,42.34,131700,211300,60.44,181.2,144.4,-0.71,3.8
Enterprise-Nevada,14676,168011,1044.8,50667,79089,56.1,186500,300800,61.29,,,,7.6
Worcester-Massachusetts,172722,185677,7.5,35623,41561,16.67,118400,221600,87.16,421.9,278.2,2.78,22.4
Thornton-Colorado,82368,136978,66.3,54445,77092,41.6,152100,324800,113.54,353.8,293.5,3.57,8.2
Brooklyn-Park-Minnesota,67375,80581,19.6,56572,71213,25.88,129700,227800,75.64,361.5,266.4,-11.98,7.9
Lancaster-California,118752,160316,35,41127,52878,28.57,97800,262400,168.3,462,341.3,-4.6,17.2
Nashua-New-Hampshire,86608,88341,2,51969,70261,35.2,132200,273900,107.19,168.1,128.4,-8.49,9.2
Aurora-Colorado,276487,366623,32.6,46507,63055,35.58,139700,299600,114.46,469.2,390,12.73,10.7
Lexington-Fayette-Kentucky,260484,321959,23.6,39813,56137,41,109700,193100,76.03,,,,16.6
St.-Paul-Minnesota,287098,306621,6.8,38774,54290,40.02,105000,211100,101.05,535.3,384.1,4.76,18.7
Spring-Valley-Nevada,117377,211280,80,48563,56063,15.44,140900,265800,88.64,,,,13.2
Lawrence-Kansas,80076,96892,21,34669,48827,40.84,112800,203800,80.67,295.8,303.8,-33.21,21.6
Mesa-Arizona,396486,496401,25.2,42817,55014,28.49,112100,224700,100.45,422.3,210.9,13.07,15
West-Des-Moines-Iowa,46398,65608,41.4,54139,77476,43.11,137800,248756,80.52,214.3,176.2,-2.28,6.8
Iowa-City-Iowa,62231,75798,21.8,34977,50320,43.87,121400,219100,80.48,207.9,187,0.24,27.3
Bloomington-Minnesota,85184,85866,0.8,54628,69642,27.48,144800,243500,68.16,250.7,214.7,-1.1,6.9
Concord-North-Carolina,55967,92067,64.5,46094,67844,47.19,113700,212300,86.72,351.6,121.4,-1.73,10.4
Fort-Myers-Florida,48216,79943,65.8,28514,45511,59.61,71700,230800,221.9,797.1,356.9,10.28,14.4
Rapid-City-South-Dakota,59584,74421,24.9,35978,49602,37.87,85500,184200,115.44,342.8,370.6,14.38,16.4
Chesapeake-Virginia,199169,240397,20.7,50743,76629,51.01,119700,270200,125.73,315.9,214.6,15.8,9.5
Murfreesboro-Tennessee,68805,136372,98.2,39705,64953,63.59,118500,243800,105.74,434.8,289.9,-5.52,13.3
Ames-Iowa,50723,66498,31.1,36042,51860,43.89,125300,216000,72.39,202.9,183.4,-8.6,25.5
Gilbert-Arizona,109712,242354,120.9,68032,84699,24.5,157100,320000,103.69,176.9,100.1,-2.7,5.6
Suffolk-Virginia,63681,90237,41.7,41115,70277,70.93,104500,252000,141.15,346.4,206.2,16.01,10.9
Columbia-Missouri,84525,121717,44,33729,47043,39.47,110700,187100,69.02,305.1,266.4,4.41,20.7
Phoenix-Arizona,1320940,1626078,23.1,41207,56696,37.59,107000,231000,115.89,578.3,396.8,3.53,16.8
Lafayette-Louisiana,110302,126848,15,35996,41964,16.58,99800,193000,93.39,524.9,361.9,-11.41,21.4
Plano-Texas,221988,286143,28.9,78722,94306,19.8,161200,329500,104.4,242,131.1,2.67,5.1
Huntsville-Alabama,158199,194585,23,41074,50704,23.45,95600,170900,78.77,583.6,505.2,-4.66,18.7
Madison-Wisconsin,207998,255214,22.7,41941,65072,55.15,137700,240700,74.8,284.3,245,-2.9,18.7
San-Bernardino-California,185465,216995,17,31140,46510,49.36,94300,245900,160.76,697.2,630.2,18.59,22.7
Newark-New-Jersey,273660,285154,4.2,26913,35167,30.67,132800,235000,76.96,609,368.5,3.08,27.8
Waukesha-Wisconsin,64838,72489,11.8,50084,60923,21.64,138000,209800,52.03,150.7,110,-6.92,8.1
West-Jordan-Utah,68329,113905,66.7,55794,74400,33.35,152600,283700,85.91,228.2,203,-6.13,7.2
Georgetown-Texas,28342,70685,149.4,54098,71829,32.78,139200,280300,101.36,129.5,85.1,16.46,9.2
Raleigh-North-Carolina,276148,464758,68.3,46612,64660,38.72,152400,239700,57.28,363.7,259.8,1.28,12.6
Columbia-Maryland,88262,103709,17.5,71524,100665,40.74,172700,370600,114.59,,,,9.2
Kennewick-Washington,54696,81607,49.2,41213,51061,23.9,106300,200500,88.62,360.5,196,6.31,14.5
Farmington-Hills-Michigan,82117,81050,-1.3,67493,82592,22.37,220400,257000,16.61,176.2,70.9,20.52,7.6
Antioch-California,90497,111674,23.4,60359,70696,17.13,195300,408100,108.96,338.7,322.6,-7.81,17.1
McKinney-Texas,54371,181330,233.5,63366,93546,47.63,145400,317200,118.16,199.6,103.4,2.99,7.9
Jupiter-Florida,39331,64976,65.2,54945,73229,33.28,140700,346122,146,233,123.1,-1.85,8.6
Sioux-Falls-South-Dakota,123957,176888,42.7,41221,61915,50.2,97300,193900,99.28,290.8,278.8,18.31,8.5
Las-Vegas-Nevada,478505,641676,34.1,44069,56699,28.66,133100,245500,84.45,514.6,363.9,-9.96,14.5
Merced-California,63908,83081,30,30429,40573,33.34,103200,222700,115.79,511.7,289.1,4.64,31.6
Cheyenne-Wyoming,53020,63624,20,38856,60786,56.44,100400,215781,114.92,270.7,287.8,-1.02,11.1
Bakersfield-California,247000,380874,54.2,39982,57105,42.83,103500,239700,131.59,474.1,378.5,9.59,17.8
Cranston-Rhode-Island,79298,81202,2.4,44108,71263,61.56,122600,245600,100.33,174.9,118.1,3.92,7.3
Visalia-California,91541,133010,45.3,41349,64482,55.95,112200,233900,108.47,594.9,280.2,10.41,16.4
Edmond-Oklahoma,68313,91950,34.6,54556,69570,27.52,118000,232900,97.37,180.9,118,3.02,12.4
Richmond-Virginia,197763,227032,14.8,31121,46261,48.65,87400,233200,166.82,755.7,371.1,21.24,24.4
Brockton-Massachusetts,94258,95672,1.5,39507,58357,47.71,127900,264200,106.57,498.9,369.4,1.18,10.5
Westminster-Colorado,100905,112812,11.8,56323,64214,14.01,165600,341200,106.04,332.3,261.9,14.27,9.5
New-Orleans-Louisiana,484946,393292,-18.9,27133,36999,36.36,88100,227800,158.57,370,661.1,-62.09,26.2
Albuquerque-New-Mexico,448630,558545,24.5,38272,50456,31.84,123700,196900,59.18,580.7,710.3,-1.09,15.2
Johnson-City-Tennessee,55464,66391,19.7,30835,35700,15.78,95300,166900,75.13,479.7,293.3,10,22.1
Lowell-Massachusetts,105142,111346,5.9,39192,50391,28.57,130500,270100,106.97,416.5,172.1,0.39,22.9
Olathe-Kansas,92949,137472,47.9,61111,87052,42.45,138600,239100,72.51,229.8,147.1,19.44,4.1
Rochester-Hills-Michigan,68835,74205,7.8,74912,93573,24.91,215100,285300,32.64,51.4,51.9,-6.88,4.2
Tacoma-Washington,193488,213418,10.3,37879,57164,50.91,123400,269800,118.64,744.3,538,-1.78,14.9
Vancouver-Washington,143523,175673,22.4,41618,61079,46.76,140800,290500,106.32,396.2,324.1,19.48,13.2
Chandler-Arizona,176625,253458,43.5,58416,76860,31.57,135100,292800,116.73,283.3,186.7,-1.7,8.1
Chicago-Illinois,2896002,2716450,-6.2,38625,55295,43.16,144300,255900,77.34,610.1,468.8,0.98,18.6
Tempe-Arizona,158558,185038,16.7,42361,51986,22.72,126700,266900,110.66,564.7,360.8,-2.32,22.1
Elk-Grove-California,59980,171844,186.5,60661,89404,47.38,150900,403300,167.26,240,131.1,-2.79,7.7
Lawrence-Massachusetts,72023,80162,11.3,27983,41499,48.3,116400,282300,142.53,349.8,227.6,-7.17,18.7
Paradise-Nevada,186015,235123,26.4,39376,45777,16.26,134200,229600,71.09,,,,18.4
The-Woodlands-Texas,55656,115097,106.8,85253,117180,37.45,167000,366200,119.28,,,,2.3
Murrieta-California,44285,113326,155.9,60911,82249,35.03,190300,417000,119.13,177.6,93.8,6.35,5.2
Meridian-Idaho,34914,99926,186.2,53276,64273,20.64,119800,271800,126.88,189.9,116.3,6.63,10.9
Palatine-Illinois,65500,68644,4.8,63321,71794,13.38,183400,285300,55.56,119.3,44.3,7.87,13.7
Fresno-California,427768,527438,23.3,32236,48600,50.76,94900,234500,147.1,530.2,326.4,8.6,23.7
Colorado-Springs-Colorado,360896,464474,28.7,45081,59514,32.02,143300,265400,85.21,411.4,367.2,-0.82,12.8
Hillsboro-Oregon,70186,106894,52.3,51737,83992,62.34,163200,350000,114.46,283.7,180.9,22.44,5
Citrus-Heights-California,85039,87931,3.4,43859,58774,34.01,132700,302300,127.81,362,257.3,2.9,9.7
Overland-Park-Kansas,149086,191278,28.3,62116,79070,27.29,160900,270800,68.3,208.3,179.4,9.34,5.1
College-Station-Texas,67880,113564,67.3,21180,44124,108.33,114000,244000,114.04,284.2,179.5,3.53,32.7
Coral-Springs-Florida,117523,133037,13.2,58459,72557,24.12,166000,347400,109.28,140.3,121,-14.35,9.5
Greeley-Colorado,76913,105448,37.1,36414,53379,46.59,129600,248000,91.36,489.6,256.1,26.74,15.3
Stockton-California,243717,310496,27.4,35453,51336,44.8,117500,282000,140,756.1,573.6,0.03,19.3
Highlands-Ranch-Colorado,70910,107216,51.2,86792,115195,32.73,234400,469500,100.3,,,,3.8
