Location,Occupied Housing Units,Home Value 2018,Home Value 2010,Home Value CAGR,Median Rent 2018,Median Rent 2010,Rent CAGR,Rental Vacancy Rate,Vacancy Expense (monthly),Vacancy Expense Final,Taxes,Insurance Final,Capex Final,Property Management,Insurance,Capex,CoCR,CoCR If invested in 2011,CoCR Delta,Rent to Price Ratio
"St. Petersburg , Florida",107173,182900,187100,-0%,1067,726,4.4%,9%,$95,$95, $	134.83 , $	255.22 , $	185.92 ,$106.70, $	297.92 ,$106.70,1.90%,1.86%,-0.04%,0.58%
"Dallas , Texas",505816,169400,142500,2%,987,644,4.9%,8%,$75,$75, $	319.58 , $	200.38 , $	176.74 ,$98.70, $	162.08 ,$98.70,0.83%,0.98%,0.16%,0.58%
"Meriden , Connecticut",26218,172200,208300,-2%,1000,738,3.4%,10%,$103,$103, $	390.08 , $	39.93 , $	178.25 ,$100.00, $	75.17 ,$100.00,1.32%,1.09%,-0.23%,0.58%
"High Point , North Carolina",41011,147500,148900,-0%,856,557,4.9%,5%,$43,$43, $	158.83 , $	59.53 , $	161.12 ,$85.60, $	64.42 ,$85.60,2.83%,2.81%,-0.03%,0.58%
"Avondale , Arizona",25789,196000,214200,-1%,1137,946,2.1%,3%,$36,$45, $	113.42 , $	72.18 , $	193.76 ,$113.70, $	67.75 ,$113.70,3.66%,3.35%,-0.31%,0.58%
"Champaign , Illinois",34463,158800,153200,0%,921,624,4.4%,8%,$74,$74, $	314.25 , $	104.01 , $	168.97 ,$92.10, $	87.75 ,$92.10,1.27%,1.32%,0.05%,0.58%
"Livonia , Michigan",37107,180300,185500,-0%,1043,747,3.8%,2%,$23,$42, $	255.25 , $	132.19 , $	183.20 ,$104.30, $	89.42 ,$104.30,2.17%,2.11%,-0.06%,0.58%
"Bossier City , Louisiana",26552,161400,138500,2%,933,583,5.4%,9%,$88,$88, $	95.58 , $	322.53 , $	170.39 ,$93.30, $	248.25 ,$93.30,1.22%,1.42%,0.20%,0.58%
"Palm Harbor, Florida",26674,216000,231900,-1%,1248,871,4.1%,5%,$56,$56, $	188.67 , $	301.41 , $	205.86 ,$124.80, $	297.92 ,$124.80,2.06%,1.92%,-0.14%,0.58%
"Wilmington , Delaware",28526,169400,185800,-1%,974,688,3.9%,9%,$92,$92, $	134.75 , $	41.84 , $	175.22 ,$97.40, $	62.33 ,$97.40,3.07%,2.80%,-0.27%,0.57%
"New Braunfels , Texas",26524,199700,149500,3%,1146,710,5.5%,7%,$77,$77, $	282.42 , $	236.22 , $	194.76 ,$114.60, $	162.08 ,$114.60,1.45%,1.94%,0.49%,0.57%
"Conroe , Texas",29836,177700,133800,3%,1018,632,5.4%,7%,$67,$67, $	304.17 , $	210.20 , $	180.33 ,$101.80, $	162.08 ,$101.80,1.04%,1.38%,0.34%,0.57%
