Location,Occupied Housing Units,Home Value 2018,Home Value 2010,Home Value CAGR,Median Rent 2018,Median Rent 2010,Rent CAGR,Rental Vacancy Rate,Vacancy Expense (monthly),Vacancy Expense Final,Taxes,Insurance Final,Capex Final,Property Management,Insurance,Capex,CoCR,CoCR If invested in 2011,CoCR Delta,Rent to Price Ratio
"Royal Oak , Michigan",28467,210200,182900,2%,1042,737,3.9%,6%,$58,$58, $	290.83 , $	154.11 , $	183.08 ,$104.20, $	89.42 ,$104.20,1.44%,1.65%,0.21%,0.50%
"Toms River, New Jersey",33591,283500,340200,-2%,1405,1041,3.4%,2%,$30,$56, $	466.08 , $	45.98 , $	222.34 ,$140.50, $	59.25 ,$140.50,2.01%,1.67%,-0.33%,0.50%
"Paterson , New Jersey",44748,237500,336700,-4%,1175,865,3.5%,5%,$55,$55, $	722.92 , $	38.52 , $	197.95 ,$117.50, $	59.25 ,$117.50,0.22%,0.15%,-0.06%,0.49%
"Bloomington , Illinois",31952,167200,161900,0%,825,580,4.0%,8%,$65,$65, $	344.67 , $	109.51 , $	157.30 ,$82.50, $	87.75 ,$82.50,0.47%,0.49%,0.02%,0.49%
"Norman , Oklahoma",47135,174700,144500,2%,857,568,4.7%,9%,$78,$78, $	173.17 , $	438.17 , $	161.24 ,$85.70, $	220.92 ,$85.70,-0.54%,-0.66%,-0.11%,0.49%
"Moreno Valley , California",50620,287300,301100,-1%,1406,1123,2.5%,5%,$70,$70, $	219.00 , $	41.45 , $	222.44 ,$140.60, $	66.08 ,$140.60,2.97%,2.84%,-0.14%,0.49%
"Danbury , Connecticut",29736,296600,348800,-2%,1451,1022,4.0%,3%,$38,$58, $	414.83 , $	68.78 , $	227.05 ,$145.10, $	75.17 ,$145.10,2.17%,1.85%,-0.33%,0.49%
"Virginia Beach , Virginia",169290,274300,274500,-0%,1339,981,3.5%,5%,$66,$66, $	197.83 , $	83.98 , $	215.50 ,$133.90, $	79.92 ,$133.90,2.81%,2.81%,-0.00%,0.49%
"Yakima , Washington",33557,164200,157900,0%,801,552,4.2%,4%,$35,$35, $	153.25 , $	31.37 , $	154.31 ,$80.10, $	54.42 ,$80.10,2.53%,2.64%,0.10%,0.49%
"Bloomington , Indiana",30897,182100,159600,1%,887,620,4.1%,6%,$51,$51, $	145.50 , $	170.44 , $	164.88 ,$88.70, $	99.83 ,$88.70,1.76%,2.01%,0.25%,0.49%
"Fishers , Indiana",32017,251700,207900,2%,1222,850,4.1%,10%,$116,$116, $	204.08 , $	235.59 , $	203.06 ,$122.20, $	99.83 ,$122.20,1.63%,1.97%,0.34%,0.49%
"Glendale , Arizona",82455,197600,214400,-1%,958,707,3.4%,7%,$64,$64, $	113.67 , $	72.77 , $	173.35 ,$95.80, $	67.75 ,$95.80,2.66%,2.45%,-0.21%,0.48%
"Tuscaloosa , Alabama",35192,173900,152300,1%,843,527,5.4%,6%,$48,$48, $	72.67 , $	283.81 , $	159.52 ,$84.30, $	192.83 ,$84.30,1.34%,1.53%,0.19%,0.48%
"Peoria , Arizona",58201,248700,248500,0%,1205,965,2.5%,9%,$104,$104, $	137.00 , $	91.59 , $	201.22 ,$120.50, $	67.75 ,$120.50,2.66%,2.66%,0.00%,0.48%
"Woodbury , Minnesota",25098,308700,296000,0%,1495,1040,4.1%,1%,$12,$60, $	301.25 , $	225.07 , $	231.50 ,$149.50, $	111.08 ,$149.50,2.05%,2.14%,0.09%,0.48%
"Durham , North Carolina",107724,207900,178500,2%,1005,660,4.8%,7%,$66,$66, $	218.08 , $	83.91 , $	178.83 ,$100.50, $	64.42 ,$100.50,2.06%,2.40%,0.34%,0.48%
"Spokane , Washington",89626,174300,163500,1%,842,568,4.5%,4%,$36,$36, $	164.17 , $	33.30 , $	159.40 ,$84.20, $	54.42 ,$84.20,2.51%,2.68%,0.17%,0.48%
"Lee's Summit , Missouri",36134,210400,188900,1%,1015,754,3.4%,7%,$66,$66, $	248.00 , $	271.73 , $	179.98 ,$101.50, $	143.50 ,$101.50,0.84%,0.94%,0.10%,0.48%
"Enterprise, Nevada",55100,287200,309900,-1%,1385,1178,1.8%,8%,$104,$104, $	170.92 , $	68.68 , $	220.28 ,$138.50, $	58.58 ,$138.50,2.85%,2.64%,-0.21%,0.48%
"Worcester , Massachusetts",71145,220700,247000,-1%,1064,739,4.1%,4%,$44,$44, $	304.08 , $	57.75 , $	185.58 ,$106.40, $	99.17 ,$106.40,1.99%,1.78%,-0.21%,0.48%
"Thornton , Colorado",44745,290100,219900,3%,1398,856,5.6%,6%,$80,$80, $	158.58 , $	122.90 , $	221.62 ,$139.80, $	118.08 ,$139.80,2.79%,3.69%,0.89%,0.48%
"Brooklyn Park , Minnesota",27455,208800,228600,-1%,1006,743,3.4%,8%,$77,$77, $	236.50 , $	152.23 , $	178.94 ,$100.60, $	111.08 ,$100.60,1.50%,1.37%,-0.13%,0.48%
"Lancaster , California",47650,242100,269800,-1%,1162,952,2.2%,7%,$78,$78, $	238.00 , $	34.93 , $	196.52 ,$116.20, $	66.08 ,$116.20,2.47%,2.22%,-0.25%,0.48%
"Nashua , New Hampshire",36274,257700,268000,-0%,1235,939,3.1%,2%,$22,$49, $	468.08 , $	71.40 , $	204.46 ,$123.50, $	56.67 ,$123.50,1.48%,1.42%,-0.06%,0.48%
"Aurora , Colorado",128182,259000,189100,4%,1241,732,6.0%,4%,$55,$55, $	118.33 , $	109.73 , $	205.11 ,$124.10, $	118.08 ,$124.10,2.91%,3.99%,1.08%,0.48%
"Spokane Valley , Washington",40129,188800,184700,0%,903,641,3.9%,3%,$26,$36, $	200.33 , $	36.07 , $	166.81 ,$90.30, $	54.42 ,$90.30,2.37%,2.43%,0.05%,0.48%
"Lexington-Fayette, Kentucky",128806,180700,160600,1%,864,587,4.4%,5%,$44,$44, $	151.50 , $	160.92 , $	162.09 ,$86.40, $	112.92 ,$86.40,1.72%,1.94%,0.22%,0.48%
"Nashville-Davidson metropolitan government (balance), Tennessee",268061,216500,163500,3%,1033,644,5.4%,6%,$60,$60, $	146.92 , $	204.05 , $	182.05 ,$103.30, $	126.75 ,$103.30,1.87%,2.47%,0.61%,0.48%
"St. Paul , Minnesota",112999,196500,207600,-1%,935,690,3.4%,4%,$38,$38, $	222.00 , $	143.26 , $	170.63 ,$93.50, $	111.08 ,$93.50,1.63%,1.54%,-0.09%,0.48%
"Spring Valley, Nevada",74521,241600,280200,-2%,1148,981,1.8%,7%,$84,$84, $	132.33 , $	57.78 , $	194.98 ,$114.80, $	58.58 ,$114.80,2.80%,2.42%,-0.39%,0.48%
"Lawrence , Kansas",37557,188100,177300,1%,892,637,3.8%,5%,$48,$48, $	216.50 , $	333.48 , $	165.49 ,$89.20, $	161.58 ,$89.20,0.25%,0.27%,0.02%,0.47%
"Mesa , Arizona",178390,209700,222000,-1%,988,725,3.5%,7%,$71,$71, $	108.92 , $	77.23 , $	176.86 ,$98.80, $	67.75 ,$98.80,2.60%,2.46%,-0.14%,0.47%
"West Des Moines , Iowa",27704,210200,185200,1%,988,723,3.5%,5%,$48,$48, $	304.75 , $	202.40 , $	176.86 ,$98.80, $	100.42 ,$98.80,0.90%,1.02%,0.12%,0.47%
"Iowa City , Iowa",29975,203500,180300,1%,954,656,4.2%,3%,$29,$38, $	313.67 , $	195.95 , $	172.88 ,$95.40, $	100.42 ,$95.40,0.81%,0.92%,0.10%,0.47%
"Bloomington , Minnesota",35833,240100,245500,-0%,1121,833,3.4%,3%,$36,$45, $	236.42 , $	175.05 , $	191.99 ,$112.10, $	111.08 ,$112.10,1.80%,1.76%,-0.04%,0.47%
"Concord , North Carolina",32539,188900,172800,1%,880,590,4.5%,7%,$57,$57, $	160.67 , $	76.24 , $	164.04 ,$88.00, $	64.42 ,$88.00,2.12%,2.32%,0.20%,0.47%
"Fort Myers , Florida",29111,208200,184800,1%,969,728,3.2%,10%,$94,$94, $	218.33 , $	290.52 , $	174.64 ,$96.90, $	297.92 ,$96.90,0.55%,0.61%,0.07%,0.47%
"Rapid City , South Dakota",29942,175400,154600,1%,816,592,3.6%,7%,$60,$60, $	218.17 , $	203.41 , $	156.18 ,$81.60, $	114.92 ,$81.60,0.66%,0.75%,0.09%,0.47%
"Chesapeake , Virginia",84230,265600,285400,-1%,1235,844,4.3%,6%,$75,$75, $	214.25 , $	81.32 , $	204.46 ,$123.50, $	79.92 ,$123.50,2.42%,2.25%,-0.17%,0.46%
"Menifee , California",28586,314700,284300,1%,1462,991,4.4%,2%,$28,$58, $	305.67 , $	45.40 , $	228.16 ,$146.20, $	66.08 ,$146.20,2.59%,2.86%,0.28%,0.46%
"Murfreesboro , Tennessee",48639,215800,172400,3%,997,681,4.3%,5%,$46,$46, $	144.08 , $	203.39 , $	177.90 ,$99.70, $	126.75 ,$99.70,1.81%,2.27%,0.46%,0.46%
"Ames , Iowa",25243,196400,173300,1%,905,635,4.0%,4%,$33,$36, $	249.33 , $	189.11 , $	167.05 ,$90.50, $	100.42 ,$90.50,1.06%,1.20%,0.14%,0.46%
"Gilbert , Arizona",75509,310400,298800,0%,1429,1052,3.5%,5%,$67,$67, $	157.50 , $	114.32 , $	224.80 ,$142.90, $	67.75 ,$142.90,2.79%,2.90%,0.11%,0.46%
"Suffolk , Virginia",33198,246600,273000,-1%,1135,631,6.7%,5%,$60,$60, $	203.17 , $	75.50 , $	193.54 ,$113.50, $	79.92 ,$113.50,2.38%,2.15%,-0.23%,0.46%
"Columbia , Missouri",48027,185700,169600,1%,854,592,4.2%,6%,$51,$51, $	161.83 , $	239.83 , $	160.87 ,$85.40, $	143.50 ,$85.40,1.00%,1.10%,0.09%,0.46%
"Phoenix , Arizona",555013,217400,229100,-1%,999,720,3.7%,6%,$63,$63, $	119.08 , $	80.06 , $	178.13 ,$99.90, $	67.75 ,$99.90,2.53%,2.40%,-0.13%,0.46%
"Lafayette , Louisiana",50416,190800,168000,1%,874,573,4.8%,8%,$73,$73, $	110.33 , $	381.28 , $	163.31 ,$87.40, $	248.25 ,$87.40,0.37%,0.42%,0.05%,0.46%
"Plano , Texas",105557,291300,214000,3%,1330,815,5.6%,6%,$84,$84, $	444.58 , $	344.58 , $	214.55 ,$133.00, $	162.08 ,$133.00,0.45%,0.61%,0.16%,0.46%
"Huntsville , Alabama",82858,176100,151500,2%,804,508,5.2%,7%,$57,$57, $	83.08 , $	287.40 , $	154.68 ,$80.40, $	192.83 ,$80.40,0.96%,1.12%,0.16%,0.46%
"Madison , Wisconsin",108573,234100,221400,1%,1068,768,3.7%,3%,$31,$43, $	416.92 , $	101.73 , $	186.04 ,$106.80, $	65.67 ,$106.80,1.10%,1.16%,0.06%,0.46%
"San Bernardino , California",58385,225700,263700,-2%,1029,808,2.7%,4%,$45,$45, $	165.33 , $	32.56 , $	181.59 ,$102.90, $	66.08 ,$102.90,2.67%,2.28%,-0.38%,0.46%
"Newark , New Jersey",96888,231500,293900,-3%,1055,780,3.4%,9%,$91,$91, $	497.83 , $	37.55 , $	184.56 ,$105.50, $	59.25 ,$105.50,0.72%,0.57%,-0.15%,0.46%
"Waukesha , Wisconsin",29432,199400,211600,-1%,908,701,2.9%,4%,$35,$36, $	320.67 , $	86.65 , $	167.41 ,$90.80, $	65.67 ,$90.80,1.24%,1.17%,-0.07%,0.46%
"West Jordan , Utah",33121,261800,228200,2%,1191,827,4.1%,3%,$35,$48, $	145.33 , $	56.67 , $	199.70 ,$119.10, $	53.50 ,$119.10,2.85%,3.27%,0.42%,0.45%
"Georgetown , Texas",25649,255300,173300,4%,1159,719,5.4%,8%,$90,$90, $	373.25 , $	301.99 , $	196.19 ,$115.90, $	162.08 ,$115.90,0.38%,0.56%,0.18%,0.45%
"Raleigh , North Carolina",180046,236700,200300,2%,1074,695,5.0%,6%,$69,$69, $	184.92 , $	95.53 , $	186.72 ,$107.40, $	64.42 ,$107.40,2.18%,2.58%,0.40%,0.45%
"Columbia, Maryland",40332,372000,384900,-0%,1687,1205,3.8%,6%,$98,$98, $	402.25 , $	85.42 , $	250.41 ,$168.70, $	72.17 ,$168.70,2.20%,2.13%,-0.07%,0.45%
"Kennewick , Washington",28364,196100,165200,2%,889,614,4.2%,7%,$58,$58, $	162.17 , $	37.47 , $	165.13 ,$88.90, $	54.42 ,$88.90,2.31%,2.74%,0.43%,0.45%
"Farmington Hills , Michigan",33957,248600,243700,0%,1126,817,3.6%,5%,$61,$61, $	365.00 , $	182.27 , $	192.54 ,$112.60, $	89.42 ,$112.60,1.03%,1.05%,0.02%,0.45%
"Antioch , California",34102,366100,405700,-1%,1658,1119,4.5%,5%,$75,$75, $	299.17 , $	52.82 , $	247.61 ,$165.80, $	66.08 ,$165.80,2.68%,2.42%,-0.26%,0.45%
"McKinney , Texas",59580,281300,186400,5%,1272,740,6.2%,8%,$99,$99, $	498.33 , $	332.75 , $	208.42 ,$127.20, $	162.08 ,$127.20,0.03%,0.04%,0.01%,0.45%
"Jupiter , Florida",25910,347700,330200,1%,1572,1178,3.3%,5%,$82,$82, $	318.33 , $	485.18 , $	239.18 ,$157.20, $	297.92 ,$157.20,1.00%,1.06%,0.05%,0.45%
"Sioux Falls , South Dakota",70259,175100,151600,2%,791,602,3.1%,6%,$46,$46, $	213.17 , $	203.06 , $	153.05 ,$79.10, $	114.92 ,$79.10,0.66%,0.77%,0.10%,0.45%
"Las Vegas , Nevada",226396,234700,257900,-1%,1057,847,2.5%,6%,$68,$68, $	135.33 , $	56.13 , $	184.79 ,$105.70, $	58.58 ,$105.70,2.59%,2.36%,-0.23%,0.45%
"Merced , California",25827,212100,234800,-1%,954,680,3.8%,5%,$43,$43, $	151.42 , $	30.60 , $	172.88 ,$95.40, $	66.08 ,$95.40,2.61%,2.35%,-0.25%,0.45%
"Cheyenne , Wyoming",26635,200200,165200,2%,898,566,5.3%,7%,$58,$58, $	107.33 , $	93.04 , $	166.21 ,$89.80, $	81.33 ,$89.80,2.30%,2.78%,0.49%,0.45%
"Bakersfield , California",116854,240900,253300,-1%,1078,771,3.8%,5%,$55,$55, $	236.00 , $	34.75 , $	187.17 ,$107.80, $	66.08 ,$107.80,2.28%,2.17%,-0.11%,0.45%
"Cranston , Rhode Island",30754,228300,263600,-2%,1021,816,2.5%,5%,$51,$51, $	380.25 , $	86.22 , $	180.67 ,$102.10, $	100.42 ,$102.10,1.16%,1.00%,-0.16%,0.45%
"Visalia , California",42209,224100,239900,-1%,998,759,3.1%,4%,$44,$44, $	169.67 , $	32.33 , $	178.02 ,$99.80, $	66.08 ,$99.80,2.54%,2.37%,-0.17%,0.45%
"Edmond , Oklahoma",33604,231100,191200,2%,1028,644,5.3%,4%,$44,$44, $	212.33 , $	579.63 , $	181.48 ,$102.80, $	220.92 ,$102.80,-0.48%,-0.58%,-0.10%,0.44%
"Richmond , Virginia",89846,220700,212300,0%,979,661,4.5%,4%,$41,$41, $	184.92 , $	67.57 , $	175.81 ,$97.90, $	79.92 ,$97.90,2.24%,2.33%,0.09%,0.44%
"Brockton , Massachusetts",32157,245300,273100,-1%,1088,848,2.8%,3%,$34,$44, $	287.33 , $	64.19 , $	188.29 ,$108.80, $	99.17 ,$108.80,1.94%,1.74%,-0.20%,0.44%
"Westminster , Colorado",43828,307600,229900,3%,1364,810,6.0%,5%,$70,$70, $	140.17 , $	130.31 , $	218.10 ,$136.40, $	118.08 ,$136.40,2.61%,3.49%,0.88%,0.44%
"New Orleans , Louisiana",154036,219600,199100,1%,973,739,3.1%,8%,$80,$80, $	178.00 , $	438.83 , $	175.11 ,$97.30, $	248.25 ,$97.30,0.02%,0.02%,0.00%,0.44%
"Albuquerque , New Mexico",222748,193000,192800,0%,855,628,3.5%,8%,$69,$69, $	177.25 , $	120.33 , $	160.99 ,$85.50, $	99.75 ,$85.50,1.50%,1.50%,0.00%,0.44%
"Johnson City , Tennessee",28337,165900,158700,0%,734,467,5.2%,6%,$42,$42, $	120.83 , $	156.36 , $	145.79 ,$73.40, $	126.75 ,$73.40,1.42%,1.48%,0.06%,0.44%
"Lowell , Massachusetts",38829,251300,248800,0%,1111,807,3.6%,5%,$57,$57, $	274.92 , $	65.76 , $	190.87 ,$111.10, $	99.17 ,$111.10,1.97%,1.99%,0.02%,0.44%
"Olathe , Kansas",47265,224000,195500,2%,990,678,4.3%,3%,$27,$40, $	239.92 , $	397.13 , $	177.09 ,$99.00, $	161.58 ,$99.00,0.20%,0.23%,0.03%,0.44%
"Rochester Hills , Michigan",28779,283200,251000,1%,1251,870,4.1%,4%,$45,$50, $	327.67 , $	207.64 , $	206.18 ,$125.10, $	89.42 ,$125.10,1.42%,1.60%,0.18%,0.44%
"Tacoma , Washington",82540,250400,243500,0%,1106,719,4.9%,5%,$50,$50, $	246.33 , $	47.84 , $	190.31 ,$110.60, $	54.42 ,$110.60,2.21%,2.27%,0.06%,0.44%
"Vancouver , Washington",71595,260400,237400,1%,1142,723,5.2%,3%,$38,$46, $	222.33 , $	49.75 , $	194.32 ,$114.20, $	54.42 ,$114.20,2.38%,2.61%,0.23%,0.44%
"Chandler , Arizona",88987,285000,283700,0%,1246,889,3.8%,4%,$50,$50, $	141.08 , $	104.96 , $	205.64 ,$124.60, $	67.75 ,$124.60,2.61%,2.62%,0.01%,0.44%
"Chicago , Illinois",1056118,246500,280200,-1%,1077,760,3.9%,6%,$68,$68, $	338.08 , $	161.44 , $	187.06 ,$107.70, $	87.75 ,$107.70,1.05%,0.92%,-0.13%,0.44%
"Tempe , Arizona",70981,255800,258500,-0%,1114,781,4.0%,7%,$82,$82, $	140.58 , $	94.21 , $	191.21 ,$111.40, $	67.75 ,$111.40,2.32%,2.29%,-0.02%,0.44%
"Elk Grove , California",52025,377800,363000,0%,1641,1280,2.8%,2%,$33,$66, $	310.50 , $	54.50 , $	245.95 ,$164.10, $	66.08 ,$164.10,2.54%,2.65%,0.10%,0.43%
"Lawrence , Massachusetts",25635,255800,264600,-0%,1111,770,4.2%,4%,$48,$48, $	237.42 , $	66.94 , $	190.87 ,$111.10, $	99.17 ,$111.10,2.14%,2.07%,-0.07%,0.43%
"Paradise, Nevada",90360,217000,250500,-2%,942,800,1.8%,18%,$170,$170, $	115.00 , $	51.89 , $	171.46 ,$94.20, $	58.58 ,$94.20,1.88%,1.63%,-0.25%,0.43%
"The Woodlands, Texas",40540,361500,245200,4%,1567,958,5.6%,10%,$152,$152, $	661.25 , $	427.61 , $	238.68 ,$156.70, $	162.08 ,$156.70,-0.23%,-0.34%,-0.11%,0.43%
"Murrieta , California",32212,390800,381400,0%,1694,1238,3.5%,3%,$46,$68, $	371.50 , $	56.38 , $	251.09 ,$169.40, $	66.08 ,$169.40,2.39%,2.45%,0.06%,0.43%
"Meridian , Idaho",34783,242000,219400,1%,1045,859,2.2%,0%,$0,$42, $	140.92 , $	81.41 , $	183.42 ,$104.50, $	51.83 ,$104.50,2.44%,2.70%,0.25%,0.43%
"Palatine, Illinois",26881,278500,308800,-1%,1202,945,2.7%,4%,$53,$53, $	544.00 , $	182.40 , $	200.89 ,$120.20, $	87.75 ,$120.20,0.44%,0.39%,-0.04%,0.43%
"Fresno , California",166758,224600,254500,-1%,969,716,3.4%,4%,$40,$40, $	166.42 , $	32.40 , $	174.64 ,$96.90, $	66.08 ,$96.90,2.45%,2.16%,-0.29%,0.43%
"Colorado Springs , Colorado",178623,248700,217700,1%,1072,676,5.3%,4%,$42,$43, $	99.92 , $	105.36 , $	186.49 ,$107.20, $	118.08 ,$107.20,2.56%,2.92%,0.36%,0.43%
"Hillsboro , Oregon",38371,315100,265300,2%,1358,821,5.8%,2%,$27,$54, $	278.67 , $	74.19 , $	217.48 ,$135.80, $	53.58 ,$135.80,2.28%,2.70%,0.43%,0.43%
"Citrus Heights , California",33749,274600,289300,-1%,1183,880,3.3%,2%,$28,$47, $	186.83 , $	39.62 , $	198.82 ,$118.30, $	66.08 ,$118.30,2.59%,2.46%,-0.13%,0.43%
"Overland Park , Kansas",76988,261200,231000,1%,1125,780,4.2%,5%,$51,$51, $	257.75 , $	463.08 , $	192.43 ,$112.50, $	161.58 ,$112.50,0.22%,0.25%,0.03%,0.43%
"College Station , Texas",39908,226400,170400,3%,972,634,4.9%,8%,$80,$80, $	382.00 , $	267.81 , $	174.99 ,$97.20, $	162.08 ,$97.20,-0.16%,-0.21%,-0.05%,0.43%
"Coral Springs , Florida",41560,336900,352200,-0%,1444,1133,2.7%,6%,$81,$81, $	345.50 , $	470.11 , $	226.33 ,$144.40, $	297.92 ,$144.40,0.63%,0.60%,-0.03%,0.43%
"Greeley , Colorado",35972,221700,177200,3%,950,598,5.3%,5%,$43,$43, $	95.58 , $	93.92 , $	172.41 ,$95.00, $	118.08 ,$95.00,2.44%,3.05%,0.61%,0.43%
"Stockton , California",95191,248000,286300,-2%,1059,787,3.4%,5%,$50,$50, $	195.08 , $	35.78 , $	185.02 ,$105.90, $	66.08 ,$105.90,2.36%,2.04%,-0.32%,0.43%
"Anochorage, Alaska",106524,308000,275000,1%,1306,939,3.7%,6%,$80,$80, $	351.42 , $	99.56 , $	212.03 ,$130.60, $	75.67 ,$130.60,1.69%,1.89%,0.20%,0.42%
"Highlands Ranch, Colorado",37340,442000,331200,3%,1874,1163,5.4%,4%,$81,$81, $	219.33 , $	187.25 , $	268.12 ,$187.40, $	118.08 ,$187.40,2.53%,3.37%,0.85%,0.42%
"Modesto , California",72106,265100,293800,-1%,1122,819,3.6%,3%,$37,$45, $	169.58 , $	38.24 , $	192.10 ,$112.20, $	66.08 ,$112.20,2.56%,2.31%,-0.25%,0.42%
"Temecula , California",33889,424100,385900,1%,1787,1263,3.9%,6%,$102,$102, $	354.83 , $	61.18 , $	259.96 ,$178.70, $	66.08 ,$178.70,2.35%,2.58%,0.23%,0.42%
"Centennial , Colorado",39701,398700,287900,4%,1679,1072,5.1%,5%,$77,$77, $	207.83 , $	168.91 , $	249.64 ,$167.90, $	118.08 ,$167.90,2.43%,3.37%,0.94%,0.42%
"Atlanta , Georgia",199478,261400,244900,1%,1099,728,4.7%,8%,$82,$82, $	244.42 , $	191.26 , $	189.53 ,$109.90, $	91.92 ,$109.90,1.29%,1.38%,0.09%,0.42%
"Rialto , California",25922,285900,313200,-1%,1198,932,2.8%,2%,$23,$48, $	201.92 , $	41.25 , $	200.46 ,$119.80, $	66.08 ,$119.80,2.46%,2.25%,-0.21%,0.42%
"Eagan , Minnesota",26553,276000,260200,1%,1156,866,3.3%,2%,$22,$46, $	237.42 , $	201.23 , $	195.86 ,$115.60, $	111.08 ,$115.60,1.56%,1.66%,0.09%,0.42%
"Elizabeth , New Jersey",40394,273700,365400,-3%,1146,859,3.3%,4%,$46,$46, $	752.75 , $	44.39 , $	194.76 ,$114.60, $	59.25 ,$114.60,-0.03%,-0.02%,0.01%,0.42%
"Santa Maria , California",27651,325400,349800,-1%,1362,970,3.8%,3%,$41,$54, $	221.42 , $	46.94 , $	217.89 ,$136.20, $	66.08 ,$136.20,2.53%,2.35%,-0.18%,0.42%
"Henderson , Nevada",113901,293500,317200,-1%,1226,1023,2.0%,7%,$80,$80, $	157.75 , $	70.19 , $	203.49 ,$122.60, $	58.58 ,$122.60,2.42%,2.24%,-0.18%,0.42%
"Minneapolis , Minnesota",173916,235900,231000,0%,985,717,3.6%,4%,$35,$39, $	261.67 , $	171.99 , $	176.51 ,$98.50, $	111.08 ,$98.50,1.21%,1.23%,0.03%,0.42%
"Loveland , Colorado",31285,286500,216900,3%,1192,725,5.7%,4%,$45,$48, $	117.67 , $	121.38 , $	199.81 ,$119.20, $	118.08 ,$119.20,2.46%,3.24%,0.79%,0.42%
"Vallejo , California",41991,338200,368200,-1%,1406,1025,3.6%,5%,$69,$69, $	236.42 , $	48.79 , $	222.44 ,$140.60, $	66.08 ,$140.60,2.44%,2.25%,-0.20%,0.42%
"Great Falls , Montana",25717,168900,145700,2%,701,463,4.7%,7%,$48,$48, $	142.75 , $	97.08 , $	141.50 ,$70.10, $	97.92 ,$70.10,1.43%,1.66%,0.23%,0.42%
"Broomfield , Colorado",26721,382800,279200,4%,1583,865,6.9%,4%,$66,$66, $	219.25 , $	162.17 , $	240.27 ,$158.30, $	118.08 ,$158.30,2.31%,3.17%,0.86%,0.41%
"Salem , Oregon",59693,223200,208300,1%,922,598,4.9%,6%,$55,$55, $	257.67 , $	52.55 , $	169.09 ,$92.20, $	53.58 ,$92.20,1.59%,1.70%,0.11%,0.41%
"Asheville , North Carolina",40757,242500,200100,2%,1001,649,4.9%,4%,$42,$42, $	169.00 , $	97.87 , $	178.37 ,$100.10, $	64.42 ,$100.10,2.05%,2.48%,0.43%,0.41%
"Kendall, Florida",26806,356500,337900,1%,1464,1107,3.2%,12%,$177,$177, $	290.08 , $	497.46 , $	228.37 ,$146.40, $	297.92 ,$146.40,0.42%,0.44%,0.02%,0.41%
"Ontario , California",49624,348200,359600,-0%,1429,1085,3.1%,3%,$43,$57, $	208.67 , $	50.23 , $	224.80 ,$142.90, $	66.08 ,$142.90,2.57%,2.49%,-0.08%,0.41%
"Gresham , Oregon",40051,267000,244200,1%,1095,708,5.0%,6%,$65,$65, $	259.58 , $	62.87 , $	189.08 ,$109.50, $	53.58 ,$109.50,1.84%,2.01%,0.17%,0.41%
"Metairie, Louisiana",59798,228400,215100,1%,935,748,2.5%,6%,$58,$58, $	116.42 , $	456.42 , $	170.63 ,$93.50, $	248.25 ,$93.50,0.21%,0.22%,0.01%,0.41%
"Redding , California",36347,253700,286400,-1%,1037,707,4.3%,4%,$38,$41, $	180.50 , $	36.60 , $	182.51 ,$103.70, $	66.08 ,$103.70,2.33%,2.06%,-0.27%,0.41%
"Clifton , New Jersey",29169,337200,376100,-1%,1375,1010,3.5%,2%,$33,$55, $	769.50 , $	54.69 , $	219.24 ,$137.50, $	59.25 ,$137.50,0.49%,0.44%,-0.05%,0.41%
"Grand Junction , Colorado",25668,223900,231600,-0%,912,652,3.8%,2%,$14,$36, $	85.92 , $	94.86 , $	167.89 ,$91.20, $	118.08 ,$91.20,2.33%,2.26%,-0.08%,0.41%
"Rancho Cordova , California",25170,278800,284200,-0%,1134,837,3.4%,4%,$44,$45, $	232.67 , $	40.22 , $	193.43 ,$113.40, $	66.08 ,$113.40,2.19%,2.15%,-0.04%,0.41%
"Ann Arbor , Michigan",47791,298400,241800,2%,1213,868,3.8%,3%,$35,$49, $	479.17 , $	218.78 , $	202.09 ,$121.30, $	89.42 ,$121.30,0.58%,0.71%,0.13%,0.41%
"Kent , Washington",42815,316400,309400,0%,1286,817,5.2%,4%,$57,$57, $	301.92 , $	60.45 , $	209.91 ,$128.60, $	54.42 ,$128.60,2.00%,2.05%,0.05%,0.41%
"Troy , Michigan",31368,286600,261200,1%,1161,875,3.2%,3%,$31,$46, $	376.50 , $	210.13 , $	196.41 ,$116.10, $	89.42 ,$116.10,0.90%,0.99%,0.09%,0.41%
"Indio , California",31468,267900,304900,-1%,1085,794,3.5%,8%,$91,$91, $	301.67 , $	38.65 , $	187.96 ,$108.50, $	66.08 ,$108.50,1.60%,1.41%,-0.19%,0.41%
"Billings , Montana",46133,212700,174800,2%,861,570,4.7%,6%,$50,$50, $	171.08 , $	122.26 , $	161.73 ,$86.10, $	97.92 ,$86.10,1.52%,1.85%,0.33%,0.40%
"Auburn , Washington",28389,294200,293200,0%,1185,773,4.9%,3%,$32,$47, $	302.83 , $	56.21 , $	199.04 ,$118.50, $	54.42 ,$118.50,1.88%,1.89%,0.01%,0.40%
"Johns Creek , Georgia",27945,382400,344100,1%,1538,1047,4.4%,5%,$78,$78, $	323.50 , $	279.79 , $	235.80 ,$153.80, $	91.92 ,$153.80,1.46%,1.63%,0.16%,0.40%
